неожиданно <...>, he quit his job and left town.	all of a sudden (suddenly) <All of a sudden>, he quit his job and left town.
все равно; без разницы If it's <...> to you, let's go there by bus.	all the same (no difference) If it's <all the same> to you, let's go there by bus.
как правило <...>, he goes for a walk after dinner.	as a rule (usually, generally) <As a rule>, he goes for a walk after dinner.
что касается <...> me, I liked the book very much. <...> the trip, let's talk about it tomorrow.	as for (in reference to) <As for> me, I liked the book very much. <As for> the trip, let's talk about it tomorrow.
совсем (не) She doesn't speak English <...>.	at all ((not) in the smallest degree) She doesn't speak English <at all>.
на данном этапе <...>, we can't turn back.	at this point (at this time) <At this point>, we can't turn back.
быть готовым сделать что-то I was <...> leave when you called.	be about to do something (be close to doing something) I was <about to> leave when you called.
быть без гроша; разориться I spent all my money. I'm <...>.	be broke (have no money at all) I spent all my money. I'm <broke>.
быть ответственным за что-то He is <...> marketing.	be in charge of something (be responsible for something) He is <in charge of> marketing.
иметь хорошее здоровье She is <...>.	be in good health (be healthy) She is <in good health>.
иметь слабое здоровье She is <...>.	be in poor health (not healthy) She is <in poor health>.
быть в хорошей форме; быть в порядке He exercises regularly, and he is <...>.	be in good shape (be physically fit) He exercises regularly, and he is <in good shape>.
быть в плохом состоянии, не в порядке, не в форме The patient is <...>. His affairs are <...>.	be in bad shape (be in bad state) The patient is <in bad shape>. His affairs are <in bad shape>.
Я уже еду. I'm <... my ...>.	be on one's way () I'm <on my way>.
устаревший This information is <...>.	be out of date (be outdated) This information is <out of date>.
быть виноватым за ошибку, за неправильные действия Who is <...> for this awful mistake? Tom is <...> for this mix-up.	be to blame (be responsible for a mistake, for something wrong) Who is to blame for this awful mistake? Tom is to blame for this mix-up.
быть привычным к чему-то I'm <...> hard work. He's <...> hot weather.	be used to something (be accustomed to something) I'm <used to> hard work. He's <used to> hot weather.
наизусть Learn this poem <...> for tomorrow.	by heart (by memorizing) Learn this poem <by heart> for tomorrow.
в одиночку; один She likes to spend an evening <...>. He did it <...>.	by oneself (by myself, by himself, etc.) (alone; on one's own) She likes to spend an evening <by herself>. He did it <by himself>.
кстати <...>, Ann is coming back today.	by the way (incidentally) <By the way>, Ann is coming back today.
осуществиться His dream <...> when he met Kate.	come true (become reality) His dream <came true> when he met Kate.
сделать все, что смог I <... my ...> to help him in his work.	do one's best (try very hard) I <did my best> to help him in his work.
время от времени <...> I visit my old aunt.	every now and then (occasionally) <Every now and then> I visit my old aunt.
через один; каждый второй She washes her hair <...> day.	every other (every second one) She washes her hair <every other> day.
