Брат крестный	сын крестного отца
Брат крестовый, брат по кресту, брат названый	лица, обменявшиеся нательными крестами
Братаниха	жена двоюродного брата
Братанна, братанина, сыновица	дочь брата, племянница по брату
Брательница	родственница двоюродная или дальняя
Братова	жена брата
Братыч	сын брата, племянник по брату
Великая тетка	сестра деда или бабки (двоюродная бабка)
Великий дядя	брат деда или бабки
Внук/Внучка	сын/дочь племянника или племянницы
Внучатая двоюродная племянница	внучка двоюродного брата или сестры
Внучатая племянница	внучка брата или сестры (троюродная племянница)
Внучатный, внучатый	являющийся родственником в третьем колене, троюродный
Внучатые братья и сестры	троюродные братья и сестры
Внучатый двоюродный племянник	внук двоюродного брата или сестры
Внучатый племянник	внук брата или сестры
Внучатый троюродный племянник	внук троюродного брата или сестры (троюродный племянник)
(n)-юродная бабушка	(n-1)-юродная сестра бабушки или деда
(n)-юродная прабабушка	(n-1)-юродная сестра прабабушки или прадеда
(n)-юродная прапрабабушка	(n-1)-юродная сестра прапрабабушки или прапрадеда
(n)-юродная племянница	дочь (n)-юродного брата или сестры
(n)-юродная сестра	дочь (n)-юродного дяди или тетки
(n)-юродная тетка	(n)-юродная сестра отца или матери
(n)-юродная	состоящий в родстве в (n) колене
(n)-юродный брат	сын (n-1)-юродного дяди или тетки
(n)-юродный дед	(n-1)-юродный брат деда или бабушки
(n)-юродный дядя	(n)-юродный брат отца или матери
(n)-юродный племянник	сын (n)-юродного брата или сестры
(n)-юродный прадед	(n-1)-юродный брат прадеда или прабабушки
(n)-юродный прапрадед	(n-1)-юродный брат прапрадеда или прапрабабушки
Деверь	брат мужа
Дед (дедушка)	отец отца или матери
Дед крестный	отец крестного отца
Дедина, дедка	тетка по дяде
Дедич	прямой наследник по деду
Дочь названая	приемыш, воспитанница
Дядька	человек, ухаживающий за ребенком
Дядя	брат отца или матери, а также муж тетки
Единокровные дети (однородные)	Единокровные дети (однородного отца, но разных матерей)
Единоутробные дети (одноутробные)	дети, рожденные одной матерью, но от разных отцов
Единоутробный	рожденный той же матерью, но от другого отца
Жена	женщина по отношению к мужчине, с которым она состоит в браке
Женима, женища	невенченная четвертая жена
Жених	сговоривший себе невесту
