Баламошка	полоумный, дурачок
Божевольный	худоумный, дурной
Божедурье	дурак от природы
Королобый	крепкоголовый, тупой, глупый
Лободырный	недоумок
Межеумок	человек очень среднего ума
Мордофиля	дурак, да еще и чванливый
Негораздок	недалекий
Пеньтюх	пузатый человек с выдающейся кормой вдобавок
Безпелюха, тюрюхайло	неряха
Брыдлый	гадкий, вонючий
Затетёха	дородная женщина
Загузастка	круглая, толстая женщина с большой попой
Ерпыль	малорослый
Захухря	нечёса, неряха, растрепа
Шпынь голова	человек с безобразием на голове
Фуфлыга	невзрачный маленький мужичок
Маракуша	противный человек (характер)
Хобяка, Михрютка, Сиволап	неуклюжий, неловкий
Свербигузка	девка-непоседа, у нее свербит в одном месте (гузка — это попа). Она же Визгопряха
Ащеул	пересмешник, зубоскал
Ветрогонка	вздорная баба
Баляба	рохля, разиня
Белебеня, Лябзя	пустоплет
Бобыня, Буня	надутый, чванливый
Бредкий	говорливый, болтливый (от слова «бред», как вы понимаете)
Колотовка	драчливая и сварливая баба. Она же Куёлда
Гузыня или Рюма	плакса, рёва
Пыня	гордая, надутая, недоступная женщина
Пятигуз	ненадежный человек, дословно можно перевести как «пятижоп»
Расщеколда	болтливая баба
Попрешница	женщина, которую хлебом не корми, дай поспорить
Суемудр	ложно премудрый
Костеря, кропот, скапыжник	брюзга, ворчун
Шинора	проныра
Чужеяд	паразит, нахлебник
Волочайка	распутница
Гульня	распутница
Ёнда	распутница
Безсоромна	распутница
Бзыря	бешеный повеса, гуляка
Блудяшка	бешеный повеса, гуляка
Буслай	бешеный повеса, гуляка
Валандай	бездельник, лодырь
Колоброд	бездельник, лодырь
Мухоблуд	бездельник, лодырь
Глазопялка	любопытный
Печная ездова	лентяйка
Трупёрда	неповоротливая баба
Тьмонеистовый	активный невежа
Ерохвост	задира, спорщик
Ёра	озорная, бойкая на язык женщина
Киселяй, колупай	вялый, медлительный человек
Шлында	бродяга, тунеядец
Потатуй	подхалим
Насупа	угрюмый, хмурый
Вымесок	выродок
Выпороток	недоносок
Сдёргоумка	полудурок
Вяжихвостка	сплетница, мутница, вестовщица, переносчица (даль)
Лоха	дура
Остолбень	дурак
Дуботолк	дурак
Несмысел	дурак
Околотень	дурак
Шаврик	кусок дерьма
Курощуп	бабник
Чёрт верёвочный	псих
Облуд, обдувало	врун
Огуряла, охальник	безобразник и хулиган
Сняголов	сорвиголова
Пресноплюй	болтун
Тартыга	пьяница
Туес	бестолочь
